id,price,location,type
1100737,125000.0,qormi,apartment
1100738,260000.0,qormi,penthouse
1100739,120000.0,qormi,penthouse
1100740,118000.0,qormi,apartment
1100741,129900.0,qormi,apartment
1100768,370000.0,isla,house
1100774,885000.0,sliema,apartment
1100775,189000.0,sliema,apartment
1100777,189000.0,sliema,apartment
1100778,189000.0,sliema,apartment
1100779,1150000.0,sliema,penthouse
1100780,189000.0,sliema,apartment
1100781,189000.0,sliema,apartment
1100782,189000.0,sliema,apartment
1100783,295000.0,sliema,house
1100784,190000.0,sliema,apartment
1100785,265000.0,sliema,penthouse
1100786,1150000.0,sliema,penthouse
1100787,375000.0,sliema,maisonette
1100788,360000.0,sliema,maisonette
1100789,250000.0,sliema,penthouse
1100790,189000.0,sliema,apartment
1100792,200000.0,sliema,maisonette
1100793,225000.0,sliema,maisonette
1100794,190000.0,sliema,apartment
1100795,1150000.0,sliema,penthouse
1100796,260000.0,sliema,penthouse
1100797,650000.0,sliema,house
1100798,180000.0,sliema,apartment
1100799,1700000.0,sliema,apartment
1100800,650000.0,sliema,apartment
1100801,595000.0,sliema,house
1100802,335000.0,sliema,house
1100803,235000.0,sliema,apartment
1100804,190000.0,sliema,apartment
1100805,260000.0,sliema,penthouse
1100808,1300.0,st julians,apartment
1100809,310000.0,st julians,apartment
1100811,189000.0,st julians,apartment
1100812,220000.0,st julians,apartment
1100813,189000.0,st julians,apartment
1100814,260000.0,st julians,penthouse
1100815,189000.0,st julians,apartment
1100816,189000.0,st julians,apartment
1100817,170000.0,st julians,maisonette
1100818,395000.0,st julians,apartment
1100819,175000.0,st julians,apartment
1100820,170000.0,st julians,apartment
1100821,430000.0,st julians,penthouse
1100822,105000.0,st paul's bay,maisonette
1100823,585000.0,st paul's bay,apartment
1100824,189000.0,st paul's bay,apartment
1100826,187000.0,st paul's bay,apartment
1100827,210000.0,st paul's bay,penthouse
1100828,110000.0,st paul's bay,apartment
1100830,174000.0,st paul's bay,apartment
1100832,189000.0,st paul's bay,apartment
1100833,240000.0,st paul's bay,apartment
1100834,110000.0,st paul's bay,apartment
1100835,125000.0,st paul's bay,penthouse
1100836,395000.0,st venera,flat
1100837,120000.0,st venera,maisonette
1100838,185000.0,st venera,apartment
1100839,75000.0,st venera,maisonette
1100840,175000.0,st venera,maisonette
1100841,129000.0,swatar,apartment
1100851,350000.0,ibraġ,maisonette
1100854,275000.0,msida,flat
1100855,310000.0,ibraġ,maisonette
1100856,225000.0,ibraġ,maisonette
1100857,225000.0,ibraġ,maisonette
1100858,280000.0,ibraġ,apartment
1100859,270000.0,ibraġ,apartment
1100860,245000.0,ibraġ,apartment
